row_type,route,canonical_route,calculator_key,cluster_id,source_files,source_role,in_public_navigation,in_cluster_navigation,in_route_ownership,in_sitemap,has_generated_html,generated_file,duplicate_group,duplicate_status,missing_generated_html,notes
route_inventory,/calculators/finance-calculators/future-value-calculator/,/finance-calculators/future-value-calculator/,finance-calculators/future-value,,public/calculators/finance-calculators/future-value-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/future-value-calculator/index.html,/finance-calculators/future-value-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/finance-calculators/future-value-of-annuity-calculator/,/finance-calculators/future-value-of-annuity-calculator/,finance-calculators/future-value-of-annuity,,public/calculators/finance-calculators/future-value-of-annuity-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/future-value-of-annuity-calculator/index.html,/finance-calculators/future-value-of-annuity-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/finance-calculators/inflation-calculator/,/finance-calculators/inflation-calculator/,finance-calculators/inflation,,public/calculators/finance-calculators/inflation-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/inflation-calculator/index.html,/finance-calculators/inflation-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/finance-calculators/investment-calculator/,/finance-calculators/investment-calculator/,finance-calculators/investment,,public/calculators/finance-calculators/investment-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/investment-calculator/index.html,/finance-calculators/investment-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/finance-calculators/investment-growth-calculator/,/finance-calculators/investment-growth-calculator/,finance-calculators/investment-growth,,public/calculators/finance-calculators/investment-growth-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/investment-growth-calculator/index.html,/finance-calculators/investment-growth-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/finance-calculators/investment-return-calculator/,/finance-calculators/investment-return-calculator/,finance-calculators/investment-return,,public/calculators/finance-calculators/investment-return-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/investment-return-calculator/index.html,/finance-calculators/investment-return-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/finance-calculators/monthly-savings-needed-calculator/,/finance-calculators/monthly-savings-needed-calculator/,finance-calculators/monthly-savings-needed,,public/calculators/finance-calculators/monthly-savings-needed-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/monthly-savings-needed-calculator/index.html,/finance-calculators/monthly-savings-needed-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/finance-calculators/present-value-calculator/,/finance-calculators/present-value-calculator/,finance-calculators/present-value,,public/calculators/finance-calculators/present-value-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/present-value-calculator/index.html,/finance-calculators/present-value-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/finance-calculators/present-value-of-annuity-calculator/,/finance-calculators/present-value-of-annuity-calculator/,finance-calculators/present-value-of-annuity,,public/calculators/finance-calculators/present-value-of-annuity-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/present-value-of-annuity-calculator/index.html,/finance-calculators/present-value-of-annuity-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
route_inventory,/calculators/finance-calculators/simple-interest-calculator/,/finance-calculators/simple-interest-calculator/,finance-calculators/simple-interest,,public/calculators/finance-calculators/simple-interest-calculator/index.html,,false,false,false,false,true,public/calculators/finance-calculators/simple-interest-calculator/index.html,/finance-calculators/simple-interest-calculator/,shadow-route,false,Legacy or shadow calculator route under /calculators/
